Composition,Eg (eV),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
CsB3GeO7,5.76,39.5,40,5,55,87.4861,100.472,10.811,132.905,7.5,8,2,6,41.5,111,1,16,18.5,48,1,7,2.75,7,0,1,227.25,604,5,87,2.65,1.6,0.6,2.6,2.785,2.76,0.73,2.35,2.8775,1.055,0.465,4.31,2.65,1.6,0.6,2.6,2.89,1.06,0.25,1.81,8.25,23.29,0.79,3.44,7.925,22.47,0.77,3.32,20.3626,54.1595,4.4326,8.3703,18.1075,50.6,2.18,7.54,8.519,24.611,0.659,3.61,3.5,4,0,4,14,41,1,6,5.75,13,1,2,8.25,28,0,4,0,0,0,0,14,41,1,6,3184.75,8822,376,1314,20.0628,54.049,0.793,59.6,2240.45,6673.2,54.75,2352.15,3286.45,2472.1,90.15,3103.15,3.555,5.30999,0.00143,5.32,2.515,2.82,0.24,1.02,47.7975,149.042,0.22259,50.2,472.902,1445.23,3.4099,489.7,50.0218,59.7128,0.02674,59.9,979.5,1640,79,573,10.106,16.626,0.804,5.81
Pb0.97Sn0.03Te,0.3,44.3467,78.04,50,82,110.715,197.423,118.71,207.2,3.65667,0.82,5,6,10,15.58,14,16,3.66667,5.85,5,6,0.666667,0,1,1,56.99,87.6,80,90,1.06317,0.346,1.4,1.8,0.942733,0.0659,1.36,1.47,1.25123,0.3573,1.67,2.09,1.06317,0.346,1.4,1.8,0.858667,1.4246,0.69,1.49,1.3016,0.354,1.8,2.1,1.43293,2.3236,1.88,2.38,3.39259,5.30402,4.5926,5.4418,3.134,1.707,3.9,5.49,1.33703,2.10328,1.824,2.158,1.4956,1.88,2,4,3.33333,5.88,4,6,1.33333,0,2,2,2,3.94,2,4,6.66667,0,10,10,1.98,1.88,2,4,528.263,847.73,709,869,4.109,5.269,5.5,7.7,440.145,707.495,505.15,722.65,1097.33,1186.66,1262.95,2543.15,5.8391,4.818,6.24,11.4,0.11097,0.11929,0.13,0.227,7.45197,12.835,4.799,17.49,77.931,43.676,52.55,295.8,12.863,0.352,2.35,66.6,132.06,181.06,196,302,1.41777,1.8749,2.03,3.14
PtAs2,0.55,72,12,33,78,172.462,45.2368,74.9216,195.08,7,2,4,6,20,20,10,15,8,8,4,6,2,0,1,2,115.5,105,63,84,1.825,0.95,1.15,1.35,1.85,1.1,1.2,1.3,2.765,0.13,1.415,2.7,1.825,0.95,1.15,1.35,1.09,0.7,0.72,0.74,3.32,2.08,2.18,2.28,3.225,2.63,1.91,2.27,9.0324,2.6232,5.172,7.7208,8.1,5,5.3,5.6,3.071,2.702,1.72,2.211,5.89,0.22,3,5.78,10,0,5,10,2.5,3,1,2,3,6,0,3,4.5,9,0,9,5.5,9,1,5,1381,1026,868,947,7.55,2.1,4.3,6.5,2112.72,135.15,1090.15,2045.15,2940.22,2319.85,890.15,4100.15,16.43,9.94,5.73,21.4,0.395,0.53,0.13,0.33,37.5,35.8,19.6,27.7,289.76,440.48,34.76,510,85.8,28.4,50,71.6,584.5,39,302,565,5.88,0.08,2.96,5.84
SnGa4S7,3.1,95.3333,62,16,50,207.355,105.752,32.066,118.71,14,16,3,5,59.3333,60,13,16,24.6667,29,5,7,4,0,1,1,330.667,320,74,88,4.55,5.55,1,1.45,4.53,5.73,1.02,1.41,5.45333,5.82,1.1,1.88,4.55,5.55,1,1.45,2.24667,0.03,0.43,0.76,9.08667,10.82,1.81,2.58,9.07667,11.75,1.7,2.65,20.7273,24.2518,4.1672,5.8458,20.2133,30.74,3.2,6.22,8.99033,11.099,1.756,2.589,10.5867,10,2,4,19.3333,30,3,6,8,0,2,2,11.3333,24,1,4,3.33333,10,0,10,18.6667,40,2,6,3341.67,4684,579,1000,20.1333,12.1,2.9,8.1,1472.87,706.65,302.95,505.15,6090.9,5679.65,717.85,2676.15,15.1333,7.18,2.07,7.31,2.22567,4.743,0.227,0.71,13.8038,4.9935,1.7175,7.029,466.4,227.2,9.8,295.8,76.961,64.717,0.269,66.6,1133,1651,279,302,11.4433,8.1,2.81,3.14
Si3N4,5.1,35,14,7,14,70.1417,28.2295,14.0067,28.0855,8.5,1,2,3,51,18,14,15,23,10,6,7,3.5,1,1,1,281,94,78,82,2.95,0.7,0.65,1.1,3.165,0.33,0.75,1.11,3.21,2.1,0.54,1.42,2.95,0.7,0.65,1.1,1.2,2.22e-16,0.3,0.4,8.93,6.46,1.9,3.04,8.67,5.46,1.98,2.85,20.0446,14.978,4.1852,6.8834,21.755,14.89,4.77,7.3,9.006,6.516,1.916,3.066,12,0,3,4,16,8,4,5,7,2,2,2,9,6,2,3,0,0,0,0,16,8,4,5,3984.5,3247,787,1402,10.3,11.8,1.1,5.4,2651.22,4796.45,63.25,1683.15,4096.93,7575.05,77.35,2628.15,3.4975,6.985,0.00125,2.33,3.145,2.03,0.71,1.04,76.5458,150.208,0.3604,50.55,581.916,1141.49,2.7928,384.22,222.052,443.896,0.02598,148,1624,536,452,473,16.785,5.79,4.63,4.92
Gd1.05Sc0.95Se3,1.2,63.05,47.25,21,64,148.234,122.404,44.9559,157.25,7.36667,5.7,4,6,18,45.15,3,16,9,18.15,3,7,2.68333,0.15,1,3,101.933,256.55,11,89,2.28667,1.56,1.15,1.8,2.1795,1.7895,1.16,1.61,3.52433,0.2505,1.285,3.91,2.28667,1.56,1.15,1.8,1.21983,0.546,0.56,1.08,3.40067,6.39,1.2,2.55,3.4,6.465,1.1,2.54,8.52402,14.3638,3.0728,5.761,8.03267,14.415,3.1,5.89,3.19233,6.1575,1.09,2.434,4,3,2,3,8,15.15,3,6,3.33333,0,2,2,4,12,0,4,0.666667,3,0,1,7.33333,16.1,2,6,1349,2200.35,593,941,17.6617,13.275,3.8,23.5,1619.78,252.993,490.15,1814.15,3182.6,849.008,958.15,3546.15,8.50183,5.4545,2.99,7.9,0.5905,0.3285,0.23,0.6,14.6765,6.687,6.694,14.1,262.987,264.27,37.7,359.4,10.7533,8.89,2.04,15.8,486,263.1,227,398,5.144,3.033,2.46,4.14
Cs2ZnGe3Se8,2.31,127,80,30,55,295.178,200.421,65.39,132.905,15,20,4,6,46,126,1,16,20,54,1,7,3.25,2,0,2,257,702,5,89,4.875,4,1.15,2.6,4.7225,4.58,1.16,2.35,6.365,1.66,1.285,4.31,4.875,4,1.15,2.6,2.6075,2.03,0.53,1.81,7.415,18.82,0.79,2.55,7.3175,18.78,0.77,2.54,18.1566,42.3365,3.7515,5.761,17.4325,42.76,2.18,5.89,7.0905,18.154,0.659,2.434,8.61,2.44,1,4.44,18.5,10,1,12,6.5,14,1,2,9.5,32,0,4,2.5,10,0,10,16,46,1,6,2868,6776,376,941,43.575,88.8,3.8,59.6,2219.68,3058.55,301.55,1220.55,5009.52,7425.15,942.15,3103.15,16.2875,3.39,1.87,7.13,1.0975,0.09,0.24,0.39,43.9695,106.636,2.092,36.94,386.27,691.1,37.7,330.9,107.505,99.68,2.04,116,809,973,79,377,8.547,9.942,0.804,3.85
CeO2,3.41,37,42,8,58,86.0569,108.116,15.9994,140.115,5,2,2,6,17.5,29,3,16,8.5,11,3,7,2.5,1,1,3,94.5,159,15,87,1.525,0.65,0.6,1.85,1.555,0.19,0.73,1.65,2.715,3.57,0.465,4.5,1.525,0.65,0.6,1.85,1.785,1.27,1.15,1.21,4,5.76,1.12,3.44,3.87,5.54,1.1,3.32,10.657,12.1672,4.5734,8.3703,9.09,11.98,3.1,7.54,4.155,6.13,1.09,3.61,1.6,3.2,0,3.2,7.5,9,3,6,3,2,2,2,4,8,0,4,0.5,1,0,1,7,10,2,6,1581,2094,534,1314,15.593,28.014,0.793,29.6,590.325,961.65,54.75,1071.15,1855.22,3349.85,90.15,3530.15,3.33143,6.65714,0.00143,6.66,1.015,1.65,0.19,0.92,2.95259,5.01482,0.22259,5.46,210.41,407.18,3.4099,414,5.72674,11.3465,0.02674,11.4,458.5,79,249,419,4.78,0.92,2.62,4.32
KAgAsS2,2.21,32.75,15,16,47,71.505,43.7362,32.066,107.868,4.75,1,3,5,14.75,31,1,16,6.25,13,1,7,0.75,2,0,1,82,173,3,88,1.7375,0.2,1,2.2,1.6525,0.01,1.02,2.03,2.42,1.49,1.1,3.69,1.7375,0.2,1,2.2,1.0975,0.66,0.43,1.52,2.5225,4.34,0.82,2.58,2.36,4.5,0.8,2.65,5.876,8.9034,2.7882,5.8458,6.15,10.02,2.42,6.22,2.49825,4.444,0.734,2.589,3.36,4.44,1,5.44,7.25,10,1,11,2,3,1,2,2.75,8,0,4,2.5,10,0,10,4.75,11,1,6,1024.25,1581,419,1000,15.35,37.6,2.9,43.4,858.4,898.75,336.4,1235.15,1461.04,1049.45,717.85,2485.15,5.3075,9.64,0.86,10.5,0.68375,0.515,0.235,0.75,11.1922,24.265,1.7175,27.7,96.2025,230.98,9.8,250.58,145.484,428.462,0.269,429,308.5,212,90,302,3.136,2.026,0.934,2.96
Mn11Si19,0.8,270.5,9,14,25,568.972,70.6941,28.0855,54.938,50.5,13,3,4,171.5,189,7,14,79,70,4,6,20.5,3,1,2,1027,910,52,78,18.15,5.5,1.1,1.4,16.98,8.22,1.11,1.17,25.7,2.56,1.42,2.22,18.15,5.5,1.1,1.4,8.255,1.31,0.4,0.81,26.575,19.05,1.55,1.9,30.03,15.18,1.98,2.04,58.1497,42.7381,3.3437,4.1852,65.775,49.71,3.72,4.77,27.827,17.154,1.75,1.916,69.79,12.42,4,5.78,76.5,1,4,7,30,16,2,2,19,38,0,2,27.5,55,0,5,49,54,2,4,11420,7066,717,787,103,0.8,5.4,9.4,24334.2,15291.2,1517.15,1683.15,37260.8,25348.2,2235.15,2628.15,63,37.46,2.33,7.43,9.385,8.21,0.48,0.71,546.5,827.9,12.05,50.55,5113.09,4374.18,266,384.22,1449.01,2725.98,7.82,148,5839.5,5497,281,452,60.045,55.85,2.92,4.63
SrTe,3.73,45,14,38,52,107.61,39.98,87.62,127.6,5,0,5,5,9,14,2,16,4,4,2,6,0.5,1,0,1,49,82,8,90,1.7,0.6,1.4,2,1.635,0.55,1.36,1.91,2.44,1.54,1.67,3.21,1.7,0.6,1.4,2,1.215,0.21,1.11,1.32,1.525,1.15,0.95,2.1,1.755,1.25,1.13,2.38,4.4003,2.083,3.3588,5.4418,3.745,3.49,2,5.49,1.5605,1.195,0.963,2.158,2,0,2,2,4,4,2,6,2,0,2,2,2,4,0,4,5,10,0,10,2,0,2,2,709,320,549,869,16.55,22.1,5.5,27.6,882.4,319.5,722.65,1042.15,1460.05,394.2,1262.95,1657.15,4.39,3.7,2.54,6.24,0.25,0.1,0.2,0.3,12.895,9.19,8.3,17.49,98.275,91.45,52.55,144,18.825,32.95,2.35,35.3,180.5,33,164,197,1.955,0.47,1.72,2.19
Pb0.97Se0.97Sn0.03Se0.03,0.21,28.76,78.52,34,82,70.8763,198.615,78.96,207.2,2.4925,5.7,4,6,7.5,0.06,14,16,3,0.06,5,7,0.5,0,1,1,42.4925,0.27,80,89,0.734875,1.7115,1.15,1.8,0.65705,1.3911,1.16,1.47,0.842175,1.98875,1.285,2.09,0.734875,1.7115,1.15,1.8,0.5065,1.4285,0.56,1.49,1.0887,1.6695,1.8,2.55,1.1147,0.0198,1.88,2.54,2.62424,0.035052,4.5926,5.761,2.4505,3.6063,3.9,5.89,1.07177,0.0183,1.824,2.434,1.1217,0.06,2,4,2.5,0.06,4,6,1,0,2,2,1.5,0.06,2,4,2.5,0.3,0,10,2.485,0.12,2,6,414.197,6.96,709,941,2.65675,0.117,3.8,7.7,271.984,567.926,490.15,600.65,746.8,47.55,958.15,2543.15,4.01682,10.9143,4.79,11.4,0.113228,0.1165,0.13,0.32,2.88998,4.44416,4.799,7.029,54.7358,7.743,37.7,295.8,9.56975,1.9368,2.04,66.6,106.545,181.06,196,302,1.13082,1.8749,2.03,3.14
LaCuOS,3.14,27.5,49,8,57,62.6292,122.906,15.9994,138.905,3.75,4,2,6,11.5,13,3,16,5.25,4,3,7,1.5,1,1,2,63,75,13,88,1.225,1.35,0.6,1.95,1.1525,0.96,0.73,1.69,1.67125,2.615,0.465,3.08,1.225,1.35,0.6,1.95,0.9275,0.93,0.43,1.36,2.255,2.34,1.1,3.44,2.1,2.24,1.08,3.32,5.59915,4.7066,3.6637,8.3703,5.335,4.44,3.1,7.54,2.28475,2.52,1.09,3.61,2.61,5.44,0,5.44,6.5,8,3,11,1.75,1,1,2,2,4,0,4,2.75,10,0,10,3.75,5,1,6,899.25,776,538,1314,10.3733,30.307,0.793,31.1,747.5,1301.4,54.75,1356.15,1843.83,3637,90.15,3727.15,4.29536,8.95857,0.00143,8.96,0.55,0.73,0.19,0.92,5.29752,12.8274,0.22259,13.05,181.877,410.59,3.4099,414,103.699,400.973,0.02674,401,322.25,174,249,423,3.3575,1.85,2.62,4.47
AlSb,1.666,32,38,13,51,74.3708,94.7785,26.9815,121.76,4,2,3,5,14,2,13,15,5.5,1,5,6,1,0,1,1,79,12,73,85,1.35,0.2,1.25,1.45,1.29,0.22,1.18,1.4,1.72,0.09,1.675,1.765,1.35,0.2,1.25,1.45,0.715,0.37,0.53,0.9,1.83,0.44,1.61,2.05,1.89,0.5,1.64,2.14,4.2595,1.4716,3.5237,4.9953,4.04,1.62,3.23,4.85,1.7985,0.371,1.613,1.984,3,0,3,3,4,2,3,5,2,0,2,2,2,2,1,3,5,10,0,10,2.5,1,2,3,706,256,578,834,7.45,1.7,6.6,8.3,918.65,29,904.15,933.15,2481.65,517,2223.15,2740.15,4.695,3.99,2.7,6.69,0.555,0.69,0.21,0.9,15.33,9.08,10.79,19.87,185.27,216.26,77.14,293.4,130.65,212.7,24.3,237,294,64,262,326,3.07,0.64,2.75,3.39
Tl2AuPS4,2.2,80,147,15,81,191.243,377.793,30.9738,204.383,8.25,6,3,6,29,53,11,16,12.25,24,4,7,2.25,2,1,2,163.25,286,66,88,2.5375,0.2,1,1.9,2.36,1.12,1.02,1.48,3.1925,1.74,1.1,2.66,2.5375,0.2,1,1.9,1.4,1.2,0.31,1.51,4.5725,7.08,1.62,2.58,4.3725,9.41,1.19,2.65,11.4113,1.3445,4.6618,7.9791,10.6675,18.48,3.2,6.22,4.52675,6.778,1.789,2.589,5.83,2.56,2,5.44,11.5,5,3,11,3.75,7,1,2,5.25,16,0,4,7.5,10,0,10,9,23,1,6,1770,166,589,1012,9.125,3.6,2.9,7.6,1087.62,1019.9,317.25,1337.15,2559.5,2800,553.15,3353.15,13.3,17.48,1.82,19.3,0.9995,0.642,0.128,0.77,7.09025,11.893,0.657,12.55,178.482,295.2,9.8,334.4,102.628,316.765,0.235,317,540.25,2,182,366,5.6,0.05,1.88,3.81
Cs3Sn3F2Cl7,2.96,113,147,9,55,260.253,360.719,18.9984,132.905,14.5,14,2,6,49.5,116,1,17,22.5,53,1,8,3,7,0,1,274.75,643,5,94,5.0375,6.8,0.5,2.6,4.9125,5.61,0.72,2.35,6.6125,12.12,0.405,4.31,5.0375,6.8,0.5,2.6,5.3925,3.36,0.69,1.81,9.5825,5.59,0.79,3.98,9.0925,5.25,0.77,3.78,23.7897,6.873,4.4326,10.0854,24.59,14.28,2.18,10.41,8.9795,6.409,0.659,4.193,3.75,12,0,4,19.5,46,1,7,6.75,11,1,2,12.75,35,0,5,7.5,30,0,10,18,46,1,7,3843.5,2234,376,1681,54.642,177.532,0.634,59.6,932.962,1408.75,53.35,505.15,3073.96,7459.35,85.05,2543.15,6.89147,21.9266,0.0017,7.31,1.60025,0.959,0.227,0.82,12.6209,20.5766,0.2552,7.029,292.14,880.86,3.2698,295.8,94.2295,199.738,0.0089,66.6,537,748,79,302,5.828,7.008,0.804,3.14
Cs1.13Cd1.13Bi2.87Se6,1,139.65,34.21,34,83,337.685,126.014,78.96,208.98,13.4125,6.78,4,6,38.435,94.87,1,16,15.5,40.87,1,7,2.2175,6,0,1,216.393,528.35,5,89,4.04537,3.962,1.15,2.6,3.86952,4.3045,1.16,2.35,5.20366,2.8397,1.285,4.31,4.04537,3.962,1.15,2.6,2.4507,1.3147,0.56,1.81,5.97495,14.4073,0.79,2.55,5.95847,14.3699,0.77,2.54,14.4654,30.1379,3.9187,5.761,14.0391,32.8766,2.18,5.89,5.70874,13.8593,0.659,2.434,6.6893,3.8872,1,4.44,16.26,12.43,1,12,5.2825,10.87,1,2,8.1525,24,0,4,10,28.7,0,10,13.435,34.87,1,6,2267.33,5221.12,376,941,29.8805,44.548,3.8,59.6,1378.66,330.525,301.55,594.05,3311.94,4196.51,942.15,1833.15,17.1525,25.8694,1.87,9.75,0.698875,1.5756,0.12,0.32,20.489,30.067,2.092,11.3,179.009,74.576,37.7,104.8,52.7202,97.144,2.04,96.8,542.98,1272.73,79,227,5.80898,13.8515,0.804,2.46
AgI,3.0247,50,6,47,53,117.386,19.0363,107.868,126.904,5,0,5,5,14,6,11,17,6,4,4,8,0.5,1,0,1,80.5,31,65,96,1.5,0.2,1.4,1.6,1.335,0.01,1.33,1.34,1.98,0.79,1.585,2.375,1.5,0.2,1.4,1.6,1.675,0.77,1.29,2.06,2.295,0.73,1.93,2.66,1.915,1.69,1.07,2.76,4.89205,2.0797,3.8522,5.9319,5.6,2.32,4.44,6.76,2.1145,0.489,1.87,2.359,2.72,5.44,0,5.44,9,4,7,11,1.5,1,1,2,2.5,5,0,5,10,0,10,10,4,6,1,7,869.5,277,731,1008,6.45,2.9,5,7.9,810.9,848.5,386.65,1235.15,1471.15,2028,457.15,2485.15,7.715,5.57,4.93,10.5,0.2245,0.021,0.214,0.235,9.562,3.476,7.824,11.3,135.666,229.828,20.752,250.58,214.725,428.551,0.449,429,195.5,177,107,284,2.03,1.84,1.11,2.95
PtSb2,0.112,90,24,51,78,219.3,48.44,121.76,195.08,8,4,5,6,20,20,10,15,8,8,4,6,2,0,1,2,116.5,107,63,85,2.125,1.55,1.35,1.45,2.05,1.5,1.3,1.4,3.115,0.83,1.765,2.7,2.125,1.55,1.35,1.45,1.27,1.06,0.74,0.9,3.19,1.82,2.05,2.28,3.095,2.37,1.91,2.14,8.8557,2.2698,4.9953,7.7208,7.65,4.1,4.85,5.6,2.844,2.248,1.72,1.984,5.89,0.22,3,5.78,10,0,5,10,2.5,3,1,2,3,6,0,3,14.5,11,9,10,2.5,3,1,2,1268,800,834,868,9.85,6.7,6.5,6.6,1926.72,236.85,904.15,2045.15,4273.23,346.15,2223.15,4100.15,17.39,8.02,6.69,21.4,0.275,0.29,0.13,0.21,29.67,20.14,19.6,19.87,332.14,355.72,77.14,510,60.1,23,24.3,71.6,544.5,41,262,565,5.67,0.34,2.75,5.84
Hg0.1Zn0.9Te,1.83,29,19,30,80,68.8367,38.792,65.39,200.59,3.06667,3,4,6,9.33333,5.2,12,16,3.33333,2.4,4,6,1,1,1,2,53.0667,27.9,69,90,0.921667,1.065,1.35,1.5,0.878,0.976,1.25,1.49,1.201,1.429,1.67,2.41,0.921667,1.065,1.35,1.5,0.619667,0.444,0.74,1.11,1.26167,0.615,1.65,2.1,1.275,1.084,1.44,2.38,3.21428,2.55166,3.7515,8.2469,3.32867,1.485,4.45,5.49,1.255,0.727,1.59,2.158,2.14667,2.44,2,4.44,6,6,6,12,1.33333,0,2,2,1.33333,4,0,4,6.66667,0,10,10,1.33333,0,2,2,595.033,768.3,869,1007,3.93333,5.22,5.4,6.4,456.517,699.225,234.25,722.65,795.733,1199.93,630.15,1262.95,4.669,4.89,6.24,13.5,0.1883,0.3371,0.139,0.39,8.1031,17.2605,2.295,17.49,54.081,51.22,52.55,115.3,35.8613,102.05,2.35,116,107,190.9,61,197,1.15733,2.123,0.67,2.19
TlBiTe3,0.5,106.667,73,52,83,265.388,173.82,127.6,208.98,9,9,5,6,25.3333,35,13,16,9.33333,13,5,6,1.66667,0,1,1,144,194,76,90,2.56667,2.3,1.4,1.9,2.34,2.6,1.36,1.48,3.08067,2.775,1.67,2.235,2.56667,2.3,1.4,1.9,1.84333,0.14,1.03,1.17,3.31333,4.68,1.62,2.1,3.65667,5.45,1.69,2.38,8.60533,11.6636,4.6618,5.4418,8.12,13.27,3.2,5.49,3.42433,4.685,1.789,2.158,4.14667,2.56,2,3.44,8.66667,15,3,6,3.33333,0,2,2,5.33333,11,1,4,16.6667,0,10,10,4.66667,1,2,5,1299.67,2018,589,869,10.5,8.9,5.5,7.6,1096.08,1623.8,544.15,722.65,2450.72,1955.7,1262.95,1833.15,13.4567,6.82,6.24,11.9,0.283333,0.48,0.12,0.2,22.6373,48.328,4.142,17.49,142.183,6.45,52.55,164.1,20.34,39.05,2.35,46.1,326.667,25,182,207,3.54333,4.69,1.88,2.19
CuCl,3.237,23,12,17,29,49.4993,28.0933,35.4527,63.546,3.5,1,3,4,14,6,11,17,6,4,4,8,1.5,1,1,2,79,30,64,94,1.175,0.35,1,1.35,1.08,0.18,0.99,1.17,1.525,1.03,1.01,2.04,1.175,0.35,1,1.35,1.19,0.96,0.71,1.67,2.53,1.26,1.9,3.16,2.03,1.9,1.08,2.98,5.25415,3.1809,3.6637,6.8446,6.39,3.82,4.48,8.3,2.3595,1.019,1.85,2.869,2.72,5.44,0,5.44,9,4,7,11,1.5,1,1,2,2.5,5,0,5,5,10,0,10,4,6,1,7,998,506,745,1251,4.45,4.5,2.2,6.7,764.15,1184,172.15,1356.15,1539.35,2601.6,238.55,2840.15,4.48161,8.95679,0.00321,8.96,0.43,0.1,0.38,0.48,8.14,9.82,3.23,13.05,155.25,290.1,10.2,300.3,200.504,400.991,0.0089,401,229.5,217,121,338,2.445,2.09,1.4,3.49
Pb0.92Sn0.08Se,0.059,37.8133,41.44,34,82,93.0269,111.664,78.96,207.2,3.30667,1.52,4,6,10,14.88,14,16,4,6.6,5,7,0.666667,0,1,1,56.64,82.6,80,89,0.974,0.506,1.15,1.8,0.875067,0.1924,1.16,1.47,1.1194,0.6378,1.285,2.09,0.974,0.506,1.15,1.8,0.662,0.8108,0.56,1.49,1.45427,0.894,1.8,2.55,1.4856,2.3896,1.88,2.54,3.49653,5.39359,4.5926,5.761,3.274,2.302,3.9,5.89,1.42853,2.28808,1.824,2.434,1.5216,1.68,2,4,3.33333,5.68,4,6,1.33333,0,2,2,2,3.84,2,4,3.33333,10,0,10,3.28,5.84,2,6,552.147,884.28,709,941,3.55733,3.184,3.8,7.7,361.053,62.448,490.15,600.65,1004.57,754.698,958.15,2543.15,5.2876,5.698,4.79,11.4,0.152587,0.2004,0.13,0.32,3.89047,3.85276,4.799,7.029,74.9493,14.036,37.7,295.8,13.2813,3.288,2.04,66.6,143.827,156.16,196,302,1.52627,1.6164,2.03,3.14
CdSe,1.751,41,14,34,48,95.6855,33.451,78.96,112.411,4.5,1,4,5,14,4,12,16,5.5,3,4,7,0.5,1,0,1,79.5,19,70,89,1.35,0.4,1.15,1.55,1.32,0.32,1.16,1.48,1.75,0.93,1.285,2.215,1.35,0.4,1.15,1.55,0.74,0.36,0.56,0.92,2.12,0.86,1.69,2.55,1.97,1.14,1.4,2.54,4.83985,1.8423,3.9187,5.761,5.11,1.56,4.33,5.89,1.977,0.914,1.52,2.434,3.22,2.44,2,4.44,9,6,6,12,2,0,2,2,2,4,0,4,5,10,0,10,4,4,2,6,904.5,73,868,941,5.5,3.4,3.8,7.2,542.1,103.9,490.15,594.05,998.15,80,958.15,1038.15,6.72,3.86,4.79,8.65,0.275,0.09,0.23,0.32,6.443,0.502,6.192,6.694,68.635,61.87,37.7,99.57,49.42,94.76,2.04,96.8,169.5,115,112,227,1.81,1.3,1.16,2.46
Cu3SbS4,0.75,67.3333,13,16,51,146.887,6.504,32.066,121.76,9.66667,7,3,5,37.3333,31,11,16,15.3333,16,4,7,3.66667,2,1,2,209.667,160,64,88,3.16667,2.55,1,1.45,2.99667,2.68,1.02,1.4,4.095,1.72,1.1,2.04,3.16667,2.55,1,1.45,1.58333,0.82,0.43,0.9,6.02333,4.62,1.9,2.58,5.32667,7.36,1.08,2.65,13.1232,12.3921,3.6637,5.8458,14.39,11.44,4.48,6.22,5.96333,4.806,1.85,2.589,9.10667,8.32,2,5.44,20.6667,28,5,11,4.33333,3,1,2,6.33333,16,0,4,13.3333,40,0,10,9.66667,21,1,6,2356.33,1765,745,1000,12.7667,8.5,2.9,6.7,2172.13,2524.65,385.95,1356.15,4538.33,5649.05,717.85,2840.15,13.95,18.6,2.07,8.96,1.39667,2.63,0.21,0.71,21.9633,13,1.7175,19.87,339.08,861.7,9.8,300.3,409.459,1201.92,0.269,401,797.333,752,262,338,8.20667,7.72,2.75,3.49
GaAs,1.46,32,2,31,33,72.3223,5.19859,69.723,74.9216,4,0,4,4,14,2,13,15,5.5,1,5,6,1,0,1,1,79,10,74,84,1.225,0.15,1.15,1.3,1.23,0.06,1.2,1.26,1.555,0.28,1.415,1.695,1.225,0.15,1.15,1.3,0.74,0.04,0.72,0.76,1.995,0.37,1.81,2.18,1.985,0.57,1.7,2.27,4.6696,1.0048,4.1672,5.172,4.25,2.1,3.2,5.3,1.9835,0.455,1.756,2.211,3.22,0.44,3,3.44,4,2,3,5,2,0,2,2,2,2,1,3,0,0,0,0,4,2,3,5,763,368,579,947,6.2,3.8,4.3,8.1,696.55,787.2,302.95,1090.15,1783.15,1786,890.15,2676.15,5.815,0.17,5.73,5.9,0.35,0.04,0.33,0.37,16.645,22.11,5.59,27.7,146.73,223.94,34.76,258.7,45.3,9.4,40.6,50,294,16,286,302,2.885,0.15,2.81,2.96
As2Te3,1.76,111,90,33,52,266.322,232.957,74.9216,127.6,11.5,7,4,5,39,18,15,16,15,6,6,6,2.5,1,1,1,219,102,84,90,3.25,1.9,1.15,1.4,3.24,1.68,1.2,1.36,3.92,2.18,1.415,1.67,3.25,1.9,1.15,1.4,2.385,1.89,0.72,1.11,5.33,1.94,2.1,2.18,5.84,2.6,2.27,2.38,13.3347,5.9814,5.172,5.4418,13.535,5.87,5.3,5.49,5.448,2.052,2.158,2.211,6,0,2,3,14,8,5,6,5,2,2,2,9,6,3,4,15,30,0,10,8,4,2,5,2250.5,713,869,947,12.55,7.9,4.3,5.5,2174.12,12.35,722.65,1090.15,2784.57,2008.55,890.15,1262.95,15.09,7.26,5.73,6.24,0.63,0.06,0.2,0.33,53.935,2.93,17.49,27.7,113.585,88.13,34.76,52.55,53.525,92.95,2.35,50,597.5,13,197,302,6.245,0.65,2.19,2.96
SrB6,3.68,34,8,5,38,76.243,22.754,10.811,87.62,8.5,7,2,5,40,76,2,13,19,34,2,6,3,6,0,1,220,424,8,72,3.55,3.1,0.85,2,3.415,3.01,0.82,1.91,3.99,1.56,0.795,3.21,3.55,3.1,0.85,2,1.41,0.18,0.25,1.32,6.595,11.29,0.95,2.04,6.265,10.27,1.13,1.9,15.4647,24.2118,3.3588,4.5951,13.87,23.74,2,4.29,6.6345,11.343,0.963,2.051,10,16,2,3,10,16,2,3,7,10,2,2,3,6,0,1,0,0,0,0,10,16,2,3,2677.5,4257,549,801,22.8,9.6,3,27.6,7577.52,13070.8,1042.15,2352.15,9298.02,15281.8,1657.15,2823.15,8.29,11.5,2.34,2.54,3.21,5.82,0.3,1.02,154.75,292.9,8.3,50.2,1541.1,2794.2,144,489.7,98.65,126.7,27,35.3,1801,3274,164,573,18.29,33.14,1.72,5.81
